1062234	22	0	2877331	880204	0
639849	17	0	740628	210180	0
1260095	05	0	3332261	162849	0
817139	22	0	1129563	530200	0
817139	23	0	1129563	530200	0
370730	14	0	3564909	1182944	0
817139	23	0	4202623	530200	0
817139	22	0	4202623	530200	0
1000597	27	0	1911116	462440	0
191871	14	0	90881	29432	0
1260095	05	0	2083171	162849	0
538398	24	0	60111	129784	0
538398	23	0	60111	129784	0
569674	27	0	60111	129784	0
312024	16	0	60111	129784	0
435803	08	0	3013737	129784	0
312024	16	0	3013737	129784	0
1277477	21	0	4041882	1157337	0
312024	16	0	3157311	129784	0
312024	16	0	3369104	129784	0
817139	22	0	117358	530200	0
67212	27	0	179835	1022205	0
717688	09	0	289290	43780	0
346364	07	0	289290	43780	0
346364	07	0	289290	43780	0
346364	07	0	289290	43780	0
912991	17	0	2140120	812540	0
294365	08	0	2140120	812540	0
66084	18	0	2140120	812540	0
923665	17	0	2140120	812540	0
462276	15	0	2140120	812540	0
1323220	23	0	2140120	812540	0
66084	18	0	2140120	812540	0
1225716	25	0	2140120	812540	0
804656	12	0	2140120	812540	0
382250	14	0	2140120	812540	0
1145855	16	0	2140120	812540	0
1084377	16	0	2140120	812540	0
1000597	27	0	3894644	462440	0
565847	09	0	1246944	129784	0
312024	16	0	1246944	129784	0
312024	16	0	1246944	129784	0
1260095	05	0	4375023	162849	0
717688	09	0	1967781	43780	0
717688	07	0	1967781	43780	0
346364	07	0	1967781	43780	0
817139	23	0	4386081	530200	0
212707	04	0	1529507	365520	0
817139	23	0	1164198	530200	0
817139	23	0	561768	530200	0
346364	07	0	3832567	43780	0
717688	07	0	3832567	43780	0
717688	09	0	3832567	43780	0
312024	16	0	3691004	129784	0
312024	16	0	3691004	129784	0
538398	23	0	2631411	129784	0
1061510	24	0	4418000	1201831	0
312024	16	0	3395444	129784	0
959410	30	0	1946439	1276609	0
817139	22	0	1125989	530200	0
959410	30	0	1136958	1276609	0
463597	23	0	2987906	260612	0
3499	21	0	2987906	260612	0
498117	23	0	2715429	1185996	0
573166	29	0	3410313	198426	0
573166	29	0	3410313	198426	0
817139	22	0	2073216	530200	0
298454	21	0	2713406	40740	0
298454	21	0	1512699	40740	0
817139	22	0	1096069	530200	0
817139	23	0	1635520	530200	0
817139	22	0	1237795	530200	0
817139	23	0	1237795	530200	0
817139	23	0	3114313	530200	0
817139	23	0	4148576	530200	0
918172	29	0	2085536	803469	0
271575	14	0	3600172	656886	0
271575	14	0	2797830	656886	0
817139	23	0	4039589	530200	0
271575	14	0	4148882	656886	0
817139	23	0	1001752	530200	0
817139	22	0	2824851	530200	0
817139	23	0	2824851	530200	0
298454	21	0	3976188	40740	0
298454	21	0	528679	40740	0
236799	21	0	3202246	1276573	0
236799	21	0	3515053	1276573	0
817139	23	0	3781712	530200	0
817139	23	0	2902868	530200	0
817139	23	0	3306523	530200	0
817139	23	0	4009426	530200	0
3499	21	0	717528	260612	0
970835	14	0	717528	260612	0
970835	14	0	717528	260612	0
691608	17	0	905043	205009	0
817139	23	0	1773135	530200	0
817139	22	0	3451276	530200	0
817139	23	0	3451276	530200	0
817139	23	0	3667203	530200	0
817139	22	0	685711	530200	0
