383101	01
330955	04
330955	09
330955	11
330955	12
330955	18
330955	24
330955	26
330955	28
14804	04
14804	05
14804	13
14804	30
214512	03
214512	12
766831	01
766831	02
766831	07
766831	10
766831	14
766831	18
672921	01
672921	05
672921	08
672921	11
672921	12
257929	29
878467	09
878467	10
945386	02
945386	07
778095	01
507353	02
507353	05
507353	06
507353	19
507353	21
507353	28
642318	01
12848	02
12848	03
12848	07
12848	08
12848	09
12848	10
12848	11
12848	13
458359	02
458359	05
458359	06
458359	07
458359	14
458359	16
458359	26
924262	01
924262	03
921322	01
921322	07
921322	08
921322	09
921322	10
921322	12
921322	13
921322	15
921322	21
921322	22
921322	24
921322	26
921322	27
921322	28
993424	05
993424	12
993424	14
993424	23
993424	27
909064	01
916946	01
916946	12
191683	01
191683	13
191683	15
191683	17
619905	01
619905	27
33332	07
33332	09
33332	10
33332	13
33332	14
33332	15
33332	16
33332	19
33332	21
415351	05
415351	10
415351	14
415351	15
415351	17
415351	20
415351	22
