743970	01	1	287
1270194	01	1	279
571172	01	1	1
1308394	01	0	25
745499	01	2	0
1030924	01	1	831
913224	01	2	413
266475	01	0	381
475076	01	0	149
547897	01	0	11
916582	02	5	5
719207	02	0	3
1026089	02	1	5
1140246	02	1	130
688049	02	1	229
1342350	02	1	27
926190	02	1	96
40705	02	0	55
246930	02	0	1
153562	02	0	22
161401	03	0	118
649476	03	3	1392
376660	03	1	53
1265789	03	1	4
290003	03	0	16
926879	03	2	362
70921	04	2	12
319908	04	1	51
711052	04	1	30
872316	04	1	159
324055	04	1	37
720912	04	0	0
895845	05	2	4
396385	05	0	126
605751	05	2	793
374191	05	1	11
188101	05	1	79
4415	05	1	11
245361	05	1	20
1244461	05	1	307
321580	05	0	96
998486	06	1	18
362413	06	1	55
508267	06	0	16
828761	06	0	1779
604248	06	0	33
1040691	06	0	59
104503	06	1	35
909273	06	0	37
584525	06	1	2111
809553	06	0	8
705539	06	1	150
544627	06	0	567
1353143	07	1	429
1228834	07	1	367
130290	07	1	516
636384	07	0	62
649863	07	7	2669
300170	07	2	24
958509	07	0	1387
365913	07	1	695
546616	07	2	26
358802	07	2	499
572603	07	2	700
200657	08	2	250
121059	08	0	17
283346	08	0	14
1046720	08	1	34
286363	09	1	7
785691	09	2	2472
65430	09	0	21
1070644	09	2	11
409257	09	0	1
507085	09	1	0
46083	09	1	12
363161	09	0	0
826150	10	2	9
1095289	10	7	690
742523	10	1	14
278407	10	5	1000
323246	11	0	89
1080314	11	4	9
371759	11	0	0
581487	11	0	217
623664	11	2	11
613766	11	1	67
1230555	11	0	9
181199	12	1	10
393368	12	0	173
647061	12	1	506
300979	12	1	211
1720	12	1	1
135224	12	1	405
1005014	12	0	3
1265052	13	0	170
422162	13	0	851
491117	13	2	15
392241	13	1	85
1119010	13	1	578
493556	13	0	1
