720442	01
720442	01
720442	01
1075121	06
1075121	12
1075121	17
1075121	09
1075121	15
1075121	10
1075121	14
1075121	10
1075121	12
1075121	20
1075121	15
1075121	08
1075121	08
1075121	09
1075121	16
1075121	13
1075121	12
1075121	04
1075121	07
1075121	15
1075121	09
1075121	11
1075121	06
1075121	05
1075121	11
1075121	08
1075121	11
1075121	03
1075121	07
1139400	06
1139400	13
1139400	04
1139400	04
1139400	15
1139400	13
1139400	13
1139400	04
1139400	06
1139400	09
1139400	09
1139400	11
1139400	04
1139400	06
1139400	05
1139400	08
1139400	04
1139400	03
1139400	03
1139400	03
961582	05
961582	07
961582	10
670409	16
670409	16
107672	14
107672	21
107672	14
107672	18
107672	21
107672	21
107672	14
107672	18
236031	11
120315	07
787525	21
1351269	21
1351269	22
1351269	14
1351269	12
1351269	16
1351269	11
1351269	12
1351269	25
1351269	11
1203582	14
1203582	15
1203582	28
1203582	13
1203582	14
1203582	15
1203582	19
1203582	19
1203582	14
1203582	27
1203582	13
1203582	21
1203582	17
1203582	20
1203582	11
1203582	29
1203582	27
1203582	14
1203582	30
1203582	19
1203582	27
1203582	27
1203582	22
